Registrant Name,Domain Admin
Registrant Organization,Meta Platforms, Inc.
Registrant Street,1601 Willow Rd 
Registrant City,Menlo Park
Registrant State/Province,CA
Registrant Country,US
Registrant Phone,+1.6505434800
Registrant Email,domain@fb.com
Admin Name,Domain Admin
Admin Organization,Meta Platforms, Inc.
Admin Street,1601 Willow Rd 
Admin City,Menlo Park
Admin State/Province,CA
Admin Country,US
Admin Phone,+1.6505434800
Admin Email,domain@fb.com
Tech Name,Domain Admin
Tech Organization,Meta Platforms, Inc.
Tech Street,1601 Willow Rd 
Tech City,Menlo Park
Tech State/Province,CA
Tech Country,US
Tech Phone,+1.6505434800
Tech Email,domain@fb.com
